app_name,business,status,description,connects_to,show_indicator
Trading Platform,Finance,95,Core equities trading system,Risk Engine;Market Data Feed,true
FX Trading,Finance,88,Foreign exchange trading,Risk Engine;Settlement System,
Derivatives Engine,Finance,72,Options and futures trading,Risk Engine;Pricing Service,
Order Management,Finance,100,Order routing and management,Trading Platform;FX Trading,
Market Data Feed,Finance,98,Real-time market data,,
Pricing Service,Finance,45,Instrument pricing engine,Market Data Feed,
Position Manager,Finance,93,Real-time position tracking,Trading Platform;Risk Engine,
Treasury System,Finance,89,Treasury management,Cash Management;Market Data Feed,
Risk Engine,Finance,94,Real-time risk calculations,Market Data Feed,true
Credit Risk,Finance,35,Counterparty credit risk,Risk Engine,
Market Risk,Finance,28,Market risk analytics,Risk Engine;Market Data Feed,
Limit Manager,Finance,91,Trading limit management,Risk Engine;Trading Platform,
VaR Calculator,Finance,63,Value at Risk engine,Market Risk;Position Manager,
PnL Attribution,Finance,12,P&L explain and attribution,Position Manager;Risk Engine,true
HR Core,HR,96,Core HR system,Employee DB;Payroll,
Employee DB,HR,100,Employee master data,,
Payroll,HR,22,Payroll processing,Employee DB;Finance System,
Benefits Admin,HR,8,Benefits management,Employee DB;HR Core,true
Time Tracking,HR,85,Time and attendance,Employee DB;Payroll,
Recruiting,HR,67,Talent acquisition,Employee DB;HR Core,
Learning Management,HR,42,Training platform,Employee DB;HR Core,
Performance Review,HR,58,Performance management,Employee DB;HR Core,
Onboarding,HR,89,Employee onboarding,Recruiting;HR Core,
Compensation,HR,73,Compensation planning,HR Core;Payroll,
Workforce Analytics,HR,31,HR analytics and reporting,Employee DB;HR Core,
CRM Platform,Sales,93,Customer relationship management,Customer DB;Marketing Hub,true
Sales Pipeline,Sales,88,Sales opportunity tracking,CRM Platform;Forecasting,
Forecasting,Sales,75,Revenue forecasting,Sales Pipeline;Finance System,
Quote Generator,Sales,91,Proposal and quotes,CRM Platform;Pricing Service,
Contract Management,Sales,15,Contract lifecycle,Quote Generator;Legal System,
Territory Management,Sales,82,Sales territory planning,CRM Platform;Sales Pipeline,
Commission Tracker,Sales,47,Sales commission calculation,Sales Pipeline;Payroll,
Lead Scoring,Sales,79,Lead qualification,CRM Platform;Marketing Hub,
Customer Success,Sales,86,Customer retention,CRM Platform;Support Desk,
Partner Portal,Sales,54,Partner relationship management,CRM Platform;Contract Management,
Sales Analytics,Sales,92,Sales reporting and insights,Sales Pipeline;Data Warehouse,true
IT Service Desk,IT,97,IT support ticketing,Asset Management;Employee DB,
Asset Management,IT,95,IT asset tracking,IT Service Desk;Procurement,
Network Monitor,IT,18,Network monitoring,Security Ops;Cloud Platform,
Cloud Platform,IT,95,Cloud infrastructure,Network Monitor;Container Platform,true
